severity,issue,viewport,kind,sourcePage,text,href,resolved,finalUrl,status,error,samePage,redirected,crossHost,target,rel,visible
OK,,desktop,anchor,http://[::1]:4321/,(no text),/,http://[::1]:4321/,http://[::1]:4321/,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,OUR STORY,/our-story,http://[::1]:4321/our-story,http://[::1]:4321/our-story,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,THE EXPERIENCE,/the-experience,http://[::1]:4321/the-experience,http://[::1]:4321/the-experience,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,UPCOMING RETREATS,/upcoming-retreats,http://[::1]:4321/upcoming-retreats,http://[::1]:4321/upcoming-retreats,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,"SOLO OR FRIENDS Open Retreat Join a curated group of like-minded players for five immersive days of padel, fine dining a",https://menorca.cspadel.com/#rooms,https://menorca.cspadel.com/#rooms,https://menorca.cspadel.com/#rooms,200,,false,false,true,,,true
OK,,desktop,anchor,http://[::1]:4321/,"ULTIMATE PRIVACY Private Retreat Reserve the entire estate exclusively for your group. Complete privacy, custom schedule",https://menorca.cspadel.com/#rooms,https://menorca.cspadel.com/#rooms,https://menorca.cspadel.com/#rooms,200,,false,false,true,,,true
OK,,desktop,anchor,http://[::1]:4321/,C-SUITE & BOARDS Corporate & Executive Strategy in silence. High-performance leadership and networking in the most exclu,/executive-retreat,http://[::1]:4321/executive-retreat,http://[::1]:4321/executive-retreat,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,"BALEARIC ISLANDS · SPAIN MENORCA Mediterranean Sanctuary SEP 30 – OCT 4, 2026 FEW SPACES LEFT EXPLORE",https://menorca.cspadel.com/,https://menorca.cspadel.com/,https://menorca.cspadel.com/,200,,false,false,true,,,true
OK,,desktop,anchor,http://[::1]:4321/,VIEW ALL,/upcoming-retreats,http://[::1]:4321/upcoming-retreats,http://[::1]:4321/upcoming-retreats,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,ULUWATU · BALI BALI A private cliff-top estate. Elite padel. EXPLORE,/bali,http://[::1]:4321/bali,http://[::1]:4321/bali,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,COMING SOON DUBAI Coming soon. EXPLORE,/dubai,http://[::1]:4321/dubai,http://[::1]:4321/dubai,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,Courtside Padel on Instagram,https://www.instagram.com/padelcourtside/,https://www.instagram.com/padelcourtside/,https://www.instagram.com/padelcourtside/,200,,false,false,true,_blank,noopener noreferrer,true
OK,,desktop,anchor,http://[::1]:4321/,Courtside Padel on LinkedIn,https://www.linkedin.com/company/https-cspadel.com-/,https://www.linkedin.com/company/https-cspadel.com-/,https://www.linkedin.com/company/https-cspadel.com-/,200,,false,false,true,_blank,noopener noreferrer,true
OK,,desktop,anchor,http://[::1]:4321/,Menorca,https://menorca.cspadel.com/,https://menorca.cspadel.com/,https://menorca.cspadel.com/,200,,false,false,true,,,true
OK,,desktop,anchor,http://[::1]:4321/,UK (East Sussex),/east-sussex,http://[::1]:4321/east-sussex,http://[::1]:4321/east-sussex,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,Bali,/bali,http://[::1]:4321/bali,http://[::1]:4321/bali,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,Dubai,/dubai,http://[::1]:4321/dubai,http://[::1]:4321/dubai,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,UPCOMING RETREATS,/upcoming-retreats,http://[::1]:4321/upcoming-retreats,http://[::1]:4321/upcoming-retreats,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,Our Story,/our-story,http://[::1]:4321/our-story,http://[::1]:4321/our-story,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,The Experience,/the-experience,http://[::1]:4321/the-experience,http://[::1]:4321/the-experience,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,Corporate & Executive,/executive-retreat,http://[::1]:4321/executive-retreat,http://[::1]:4321/executive-retreat,200,,false,false,false,,,true
INFO,Intentional redirector (messaging deep link),desktop,anchor,http://[::1]:4321/,WhatsApp Concierge,https://wa.me/447786694723?text=Hello%2C%20I'd%20like%20to%20enquire%20about%20a%20Courtside%20Padel%20retreat.,https://wa.me/447786694723?text=Hello%2C%20I%27d%20like%20to%20enquire%20about%20a%20Courtside%20Padel%20retreat.,/send/?phone=447786694723&amp,200,,false,true,true,_blank,noopener noreferrer,true
INFO,mailto: link (not fetched),desktop,anchor,http://[::1]:4321/,awatelet@cspadel.com,mailto:awatelet@cspadel.com,mailto:awatelet@cspadel.com,,0,,false,false,false,,,true
INFO,Intentional redirector (messaging deep link),desktop,anchor,http://[::1]:4321/,MESSAGE THE TEAM,https://wa.me/447786694723?text=Hello%2C%20I'd%20like%20to%20enquire%20about%20a%20Courtside%20Padel%20retreat.,https://wa.me/447786694723?text=Hello%2C%20I%27d%20like%20to%20enquire%20about%20a%20Courtside%20Padel%20retreat.,/send/?phone=447786694723&amp,200,,false,true,true,_blank,noopener noreferrer,true
OK,,desktop,anchor,http://[::1]:4321/,Privacy Policy,/legal/privacy-policy,http://[::1]:4321/legal/privacy-policy,http://[::1]:4321/legal/privacy-policy,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,Terms of Service,/legal/terms-and-conditions,http://[::1]:4321/legal/terms-and-conditions,http://[::1]:4321/legal/terms-and-conditions,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/,Cookie Policy,/cookies,http://[::1]:4321/cookies,http://[::1]:4321/cookies,200,,false,false,false,,,true
INFO,Intentional redirector (messaging deep link),desktop,anchor,http://[::1]:4321/,CHAT WITH US,https://wa.me/447786694723?text=Hello%2C%20I'd%20like%20to%20speak%20with%20the%20Courtside%20team.,https://wa.me/447786694723?text=Hello%2C%20I%27d%20like%20to%20speak%20with%20the%20Courtside%20team.,/send/?phone=447786694723&amp,200,,false,true,true,_blank,noopener noreferrer,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://[::1]:4321/,DESTINATIONS,(javascript),,,0,,false,false,false,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://[::1]:4321/,DISCOVER EXPERIENCES,(javascript),,,0,,false,false,false,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://[::1]:4321/,PLAN YOUR RETREAT,(javascript),,,0,,false,false,false,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://[::1]:4321/,‹,(javascript),,,0,,false,false,false,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://[::1]:4321/,Review 1,(javascript),,,0,,false,false,false,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://[::1]:4321/,Review 2,(javascript),,,0,,false,false,false,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://[::1]:4321/,Review 3,(javascript),,,0,,false,false,false,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://[::1]:4321/,Review 4,(javascript),,,0,,false,false,false,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://[::1]:4321/,›,(javascript),,,0,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,(no text),/es/,http://[::1]:4321/es/,http://[::1]:4321/es/,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,NUESTRA HISTORIA,/es/our-story,http://[::1]:4321/es/our-story,http://[::1]:4321/es/our-story,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,LA EXPERIENCIA,/es/the-experience,http://[::1]:4321/es/the-experience,http://[::1]:4321/es/the-experience,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,MENORCA,https://menorca.cspadel.com/,https://menorca.cspadel.com/,https://menorca.cspadel.com/,200,,false,false,true,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,UK (EAST SUSSEX),/es/east-sussex,http://[::1]:4321/es/east-sussex,http://[::1]:4321/es/east-sussex,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,BALI,/es/bali,http://[::1]:4321/es/bali,http://[::1]:4321/es/bali,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,DUBÁI,/es/dubai,http://[::1]:4321/es/dubai,http://[::1]:4321/es/dubai,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,PRÓXIMOS RETIROS,/es/upcoming-retreats,http://[::1]:4321/es/upcoming-retreats,http://[::1]:4321/es/upcoming-retreats,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,"SOLO O CON AMIGOS Retiro Abierto Únete a un grupo selecto de jugadores afines para cinco días inmersivos de pádel, alta ",https://menorca.cspadel.com/#rooms,https://menorca.cspadel.com/#rooms,https://menorca.cspadel.com/#rooms,200,,false,false,true,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,"PRIVACIDAD ABSOLUTA Retiro Privado Reserva la finca entera en exclusiva para tu grupo. Privacidad total, horario a medid",https://menorca.cspadel.com/#rooms,https://menorca.cspadel.com/#rooms,https://menorca.cspadel.com/#rooms,200,,false,false,true,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,ALTA DIRECCIÓN Corporativo y Ejecutivo Estrategia en silencio. Liderazgo de alto rendimiento y networking en el entorno ,/es/executive-retreat,http://[::1]:4321/es/executive-retreat,http://[::1]:4321/es/executive-retreat,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,"ISLAS BALEARES · ESPAÑA MENORCA Santuario Mediterráneo 30 SEP – 4 OCT, 2026 POCAS PLAZAS DISPONIBLES DESCUBRIR",https://menorca.cspadel.com/,https://menorca.cspadel.com/,https://menorca.cspadel.com/,200,,false,false,true,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,VER TODOS,/es/upcoming-retreats,http://[::1]:4321/es/upcoming-retreats,http://[::1]:4321/es/upcoming-retreats,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,ULUWATU · BALI BALI Una finca privada sobre el acantilado. Pádel de élite. DESCUBRIR,/es/bali,http://[::1]:4321/es/bali,http://[::1]:4321/es/bali,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,PRÓXIMAMENTE DUBAI Próximamente. DESCUBRIR,/es/dubai,http://[::1]:4321/es/dubai,http://[::1]:4321/es/dubai,200,,false,false,false,,,true
OK,,desktop,anchor,http://[::1]:4321/es/,Courtside Padel on Instagram,https://www.instagram.com/padelcourtside/,https://www.instagram.com/padelcourtside/,https://www.instagram.com/padelcourtside/,200,,false,false,true,_blank,noopener noreferrer,true
OK,,desktop,anchor,http://[::1]:4321/es/,Courtside Padel on LinkedIn,https://www.linkedin.com/company/https-cspadel.com-/,https://www.linkedin.com/company/https-cspadel.com-/,https://www.linkedin.com/company/https-cspadel.com-/,200,,false,false,true,_blank,noopener noreferrer,true
OK,,desktop,anchor,http://[::1]:4321/es/,Menorca,https://menorca.cspadel.com/,https://menorca.cspadel.com/,https://menorca.cspadel.com/,200,,false,false,true,,,true
