severity,issue,viewport,kind,sourcePage,text,href,resolved,finalUrl,status,error,samePage,redirected,crossHost,inPageAnchor,target,rel,visible
OK,,desktop,anchor,http://localhost:4327/,Skip to main content,#main-content,http://localhost:4327/#main-content,http://localhost:4327/#main-content,200,,false,false,false,true,,,true
OK,,desktop,anchor,http://localhost:4327/,(no text),/,http://localhost:4327/,http://localhost:4327/,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/,INCLUDES,/#includes,http://localhost:4327/#includes,http://localhost:4327/#includes,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/,ITINERARY,/#itinerary,http://localhost:4327/#itinerary,http://localhost:4327/#itinerary,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/,BOOK,/#rooms,http://localhost:4327/#rooms,http://localhost:4327/#rooms,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/,FAQ,/#faq,http://localhost:4327/#faq,http://localhost:4327/#faq,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/,Includes,/#includes,http://localhost:4327/#includes,http://localhost:4327/#includes,200,,false,false,false,false,,,false
OK,,desktop,anchor,http://localhost:4327/,Itinerary,/#itinerary,http://localhost:4327/#itinerary,http://localhost:4327/#itinerary,200,,false,false,false,false,,,false
OK,,desktop,anchor,http://localhost:4327/,Book,/#rooms,http://localhost:4327/#rooms,http://localhost:4327/#rooms,200,,false,false,false,false,,,false
OK,,desktop,anchor,http://localhost:4327/,FAQ,/#faq,http://localhost:4327/#faq,http://localhost:4327/#faq,200,,false,false,false,false,,,false
INFO,Intentional redirector (messaging deep link),desktop,anchor,http://localhost:4327/,CONSULTAR AHORA,https://wa.me/447786694723,https://wa.me/447786694723,/send/?phone=447786694723&amp,200,,false,true,true,false,_blank,noopener noreferrer,true
INFO,Intentional redirector (messaging deep link),desktop,anchor,http://localhost:4327/,SOLICITA UN RETIRO PRIVADO A MEDIDA →,https://wa.me/447786694723,https://wa.me/447786694723,/send/?phone=447786694723&amp,200,,false,true,true,false,_blank,noopener noreferrer,true
INFO,Intentional redirector (messaging deep link),desktop,anchor,http://localhost:4327/,CONSULTAR AHORA,https://wa.me/447786694723,https://wa.me/447786694723,/send/?phone=447786694723&amp,200,,false,true,true,false,_blank,noopener noreferrer,true
OK,,desktop,anchor,http://localhost:4327/,PRIVACY POLICY,/legal/privacy-policy,http://localhost:4327/legal/privacy-policy,http://localhost:4327/legal/privacy-policy,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/,COOKIE POLICY,/legal/cookie-policy,http://localhost:4327/legal/cookie-policy,http://localhost:4327/legal/cookie-policy,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/,TERMS & CONDITIONS,/legal/terms-and-conditions,http://localhost:4327/legal/terms-and-conditions,http://localhost:4327/legal/terms-and-conditions,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/,LEGAL NOTICE,/legal/legal-notice,http://localhost:4327/legal/legal-notice,http://localhost:4327/legal/legal-notice,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/,Cookie Policy,/legal/cookie-policy,http://localhost:4327/legal/cookie-policy,http://localhost:4327/legal/cookie-policy,200,,false,false,false,false,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,ES,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,EN,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,FR,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,VIEW THE EXPERIENCE,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Previous image,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Next image,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Photo 1,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Photo 2,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Photo 3,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Photo 4,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Photo 5,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Asegurar mi Plaza,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Día 01 LLEGADA & BIENVENIDA,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Día 02 PÁDEL & PASEO EN BARCO,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Día 03 PÁDEL & VIÑEDO,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Día 04 TORNEO & ATARDECER,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Día 05 SESIÓN FINAL & DESPEDIDA,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,‹,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Review 1,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Review 2,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Review 3,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,›,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,¿Necesito experiencia en pádel?,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,¿Está todo incluido?,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,¿Están incluidos los vuelos y traslados al aeropuerto?,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,VER TODAS LAS PREGUNTAS,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,Asegurar mi Plaza →,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,COOKIECONSENT.REJECT,(javascript),,,0,,false,false,false,,,,true
INFO,JS-driven CTA — verify behaviour manually (opens modal / drawer),desktop,js-cta,http://localhost:4327/,GOT IT,(javascript),,,0,,false,false,false,,,,true
OK,,desktop,anchor,http://localhost:4327/legal/terms-and-conditions,Skip to main content,#main-content,http://localhost:4327/legal/terms-and-conditions#main-content,http://localhost:4327/legal/terms-and-conditions#main-content,200,,false,false,false,true,,,true
OK,,desktop,anchor,http://localhost:4327/legal/terms-and-conditions,(no text),/,http://localhost:4327/,http://localhost:4327/,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/legal/terms-and-conditions,INCLUDES,/#includes,http://localhost:4327/#includes,http://localhost:4327/#includes,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/legal/terms-and-conditions,ITINERARY,/#itinerary,http://localhost:4327/#itinerary,http://localhost:4327/#itinerary,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/legal/terms-and-conditions,BOOK,/#rooms,http://localhost:4327/#rooms,http://localhost:4327/#rooms,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/legal/terms-and-conditions,FAQ,/#faq,http://localhost:4327/#faq,http://localhost:4327/#faq,200,,false,false,false,false,,,true
OK,,desktop,anchor,http://localhost:4327/legal/terms-and-conditions,Includes,/#includes,http://localhost:4327/#includes,http://localhost:4327/#includes,200,,false,false,false,false,,,false
OK,,desktop,anchor,http://localhost:4327/legal/terms-and-conditions,Itinerary,/#itinerary,http://localhost:4327/#itinerary,http://localhost:4327/#itinerary,200,,false,false,false,false,,,false
